Job Class,link,Percentage
Management,https://courses.lumenlearning.com/boundless-business/chapter/an-introduction-to-management/,6.1
Business and Financial operations,https://www.obfs.uillinois.edu/bfpp/section-1-intro-business-financial-functions/,5
Computer and Mathematical,http://www.pages.drexel.edu/~nac342/ae210/assignment1.htm,2.7
Architecture and Engineering,https://en.wikipedia.org/wiki/Computational_mathematics,1.7
"Life, Physical and Social Science",https://www.slideshare.net/ChenWeiJiang/1-chapter-1introduction,0.9
Community and Social Service,https://www.britannica.com/topic/social-service,1.6
Legal,https://en.wikipedia.org/wiki/Law,0.8
"Education, training and library",https://www.bls.gov/ooh/Education-Training-and-Library/Librarians.htm,6.1
"Arts, design, entertainment, sports and media",https://www.usawage.com/usa/arts_design_entertainment_sports_and_media_occupations-salary.php,1.7
Healthcare practioners and technical,https://www.bls.gov/oes/current/oes290000.htm,5.5
Healthcare support,https://www.irelandassignmenthelp.com/care-support-assignment-example/,2.8
Protective service,https://www.dss.virginia.gov/files/division/dfs/cps/intro_page/manuals/07-2017/section_1_introduction_to_cps.pdf,2.3
Food preparation and serving,https://www.unileverfoodsolutions.com.ph/chef-inspiration/chefmanship-academy/module-5-principles-of-food-preparation-introduction.html,8.3
Building and grounds cleaning and maintenance,https://www.bls.gov/oes/current/oes370000.htm,3.7
Personal care and service,https://executivehomecare.com/blog/what-is-personal-care-and-what-does-it-entail/,4
Sales,https://www.salesforce.com/quotable/articles/how-salespeople-introduce-yourself-matters/,10.2
Office and administrative support,https://www.bls.gov/ooh/Office-and-Administrative-Support/home.htm,15.1
"Farming, fishing and forestry",https://www.ncbi.nlm.nih.gov/books/NBK207915/,0.6
Construction and extraction,https://www.bls.gov/ooh/construction-and-extraction/home.htm,4.3
"Installation, maintenance and repair",https://www.bls.gov/ooh/installation-maintenance-and-repair/home.htm,3.8
Production,https://www.britannica.com/topic/theory-of-production,6.1
Transportation and material moving,https://collegegrad.com/careers/transportation-and-material-moving,6.5
Total,arefs,99.8
